PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,final_type,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-18,18:34:13.59,1,1,"Veinbergs, Lukas",1000223279,Right,GAT_GRI,"Craig, Alec",691468,Left,SCH_BOO,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.87199,-1.669246,-2.383876,2101.617409,244.84372,2:15,5.73756,1.83057,5.29613,-26.24218,8.36111,15.48237,Sinker,1.98162,0.8812,83.28318,-6.487438,0.364591,0.42338,,,,,,,,,,,,-8.44315,4.96729,-1.62543,50,5.56647,4.7803,-131.80664,-4.83921,-14.87129,27.69471,-23.42492,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,b7051710-642f-11f0-b8c1-3d0ab3898546,89.02746,,,7.58881,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-18,23:34:13.59,2025-07-18T18:34:13.5969280-05:00,2025-07-18T23:34:13.5969280Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,33caf576-a78f-4cda-b060-4af8be0e7151,55.20622,-132.89605,13.84736,5.7387,-3.91776,-11.71246,-1.82497,5.36528,-7.43564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-07-18,18:34:28.43,1,2,"Veinbergs, Lukas",1000223279,Right,GAT_GRI,"Craig, Alec",691468,Left,SCH_BOO,Undefined,1,Top,0,0,1,Undefined,Slider,InPlay,Undefined,GroundBall,Single,0,0,,81.46848,-0.281344,-2.108795,2829.273405,277.605321,3:15,5.77247,1.87065,4.95549,-42.90813,0.8398,4.28473,Slider,1.93078,0.23428,74.64417,-8.044061,-1.352506,0.476047,92.06722,-16.271187,44.825206,,,,,7.49015,4.95571,30.309797,0.050725,-2.74193,0.8626,-1.66993,50,5.70963,4.16832,-118.1242,-2.17051,-3.86157,23.18248,-30.95922,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,bfe6cd60-642f-11f0-b8c1-3d0ab3898546,79.17791,1.92203,,6.82431,,,,1.79574,1.92203,-0.86207,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-18,23:34:28.43,2025-07-18T18:34:28.4309504-05:00,2025-07-18T23:34:28.4309504Z,GroundBall,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,351e970e-837f-4592-b887-01bcaf86a6a9,55.54672,-119.2078,11.59124,5.77726,-0.7234,-15.47961,-1.86898,4.34882,-1.93079,180.0,1.79461,92.07548,,,,,,,,1.9225,-37.89086,,,,,,,,-0.8632,91.51539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2025-07-18,18:35:02.76,2,1,"Veinbergs, Lukas",1000223279,Right,GAT_GRI,"Gould, Michael",10034549,Right,SCH_BOO,Undefined,1,Top,0,0,0,Undefined,Sinker,InPlay,Undefined,GroundBall,FieldersChoice,1,0,,89.32271,-0.96236,-2.697951,2071.481155,240.162337,2:00,5.62643,1.86662,5.65831,-25.80206,9.39788,14.5215,Sinker,2.57768,0.55878,82.05852,-5.738246,-0.104579,0.427014,79.56542,-28.132694,24.879351,,,,,5.32133,5.32133,15.084431,0.045761,-8.13166,5.34492,-1.64764,50,5.52846,5.49123,-129.68198,-3.08387,-13.91063,25.96628,-23.03062,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,d45535c0-642f-11f0-b8c1-3d0ab3898546,88.26973,2.52505,,7.26419,,,,0.85374,2.52505,-0.60197,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-18,23:35:02.76,2025-07-18T18:35:02.7613184-05:00,2025-07-18T23:35:02.7613184Z,GroundBall,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,1a8c18ad-0178-4f37-bc29-418605318b46,54.84458,-130.64841,12.98314,5.62728,-2.22671,-11.51531,-1.86166,6.00897,-6.95532,180.0,0.85181,93.62094,,,,,,,,2.52618,-55.17839,,,,,,,,-0.60286,43.41639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-07-18,18:35:36.37,3,1,"Veinbergs, Lukas",1000223279,Right,GAT_GRI,"Sojka, Andrew",675382,Left,SCH_BOO,Undefined,1,Top,1,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.62944,-1.168587,-2.926988,2148.934403,238.651301,2:00,5.69044,1.85794,5.48639,-24.33832,9.4128,13.73186,Sinker,2.56734,0.26138,83.98288,-5.665677,-0.483303,0.418134,,,,,,,,,,,,-7.72367,5.37855,-1.61078,50,5.57141,6.17378,-132.92257,-3.61004,-13.86,27.68988,-22.52231,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,e8641900-642f-11f0-b8c1-3d0ab3898546,90.1444,,,7.64656,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-18,23:35:36.37,2025-07-18T18:35:36.3751936-05:00,2025-07-18T23:35:36.3751936Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,b36ad973-dd95-4f1d-a7c5-97864006f89c,55.01551,-133.9633,13.84494,5.69119,-2.76353,-11.26116,-1.85261,6.69472,-6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-18,18:35:54.29,3,2,"Veinbergs, Lukas",1000223279,Right,GAT_GRI,"Sojka, Andrew",675382,Left,SCH_BOO,Undefined,1,Top,1,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.54651,-1.434617,-1.165358,2155.621874,240.457656,2:00,5.64837,1.88048,5.47394,-25.02017,9.51717,14.90847,Sinker,2.22026,2.03214,83.08631,-6.051064,1.491588,0.422976,,,,,,,,,,,,-7.81835,5.51677,-1.78844,50,5.50531,1.99991,-131.46424,-4.20684,-13.71513,27.25029,-22.49641,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,f317a920-642f-11f0-b8c1-3d0ab3898546,89.11246,,,7.4602,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-18,23:35:54.29,2025-07-18T18:35:54.2997504-05:00,2025-07-18T23:35:54.2997504Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,90552332-d262-45da-9b47-4e4eaa0f6dc3,55.02745,-132.50225,13.62514,5.64923,-3.34991,-11.2482,-1.87457,2.52234,-6.85756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-18,18:36:15.65,3,3,"Veinbergs, Lukas",1000223279,Right,GAT_GRI,"Sojka, Andrew",675382,Left,SCH_BOO,Undefined,1,Top,1,1,1,Undefined,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,88.60358,-0.793485,-0.364025,2171.989743,198.704326,12:30,5.94875,1.83374,5.59772,-25.3784,10.16095,3.10504,Sinker,3.09298,1.75261,82.01161,-5.476397,0.190509,0.429068,,,,,,,,,,,,-1.65638,5.65981,-1.80456,50,5.86422,0.68351,-128.81717,-2.67686,-2.81864,23.56849,-22.54282,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,ffc868d0-642f-11f0-b8c1-3d0ab3898546,87.84722,,,6.59197,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-18,23:36:15.65,2025-07-18T18:36:15.6549120-05:00,2025-07-18T23:36:15.6549120Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,4a248873-93ab-481c-a371-c86804d4d17c,54.90351,-129.71122,11.78424,5.94955,-1.82173,-11.27141,-1.83252,0.79043,-1.40932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-18,18:36:37.61,3,4,"Veinbergs, Lukas",1000223279,Right,GAT_GRI,"Sojka, Andrew",675382,Left,SCH_BOO,Undefined,1,Top,1,2,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.95638,0.434471,-1.048774,2185.052976,234.832207,1:45,5.71614,1.93811,5.56242,-24.59517,10.26394,13.05013,Sinker,4.07254,2.04567,82.31855,-4.132979,1.279083,0.424942,,,,,,,,,,,,-6.8328,5.4037,-1.8561,50,5.7376,1.80109,-130.64114,0.11774,-11.83916,26.85552,-22.81107,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,0cc54cb0-6430-11f0-b8c1-3d0ab3898546,88.70023,,,7.63783,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-18,23:36:37.61,2025-07-18T18:36:37.6165376-05:00,2025-07-18T23:36:37.6165376Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,b825e2db-8870-4da0-b997-30db03b4f996,54.93772,-131.65226,13.42776,5.71699,0.97658,-11.40554,-1.9323,2.24683,-5.91958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-18,18:37:02.39,3,5,"Veinbergs, Lukas",1000223279,Right,GAT_GRI,"Sojka, Andrew",675382,Left,SCH_BOO,Undefined,1,Top,1,3,1,Undefined,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.73812,-1.594191,-2.280259,2141.684693,239.695492,2:00,5.78646,1.83407,5.51449,-24.87324,9.44398,14.36178,Sinker,2.22138,0.89746,83.36446,-6.183922,0.279404,0.421626,81.22465,37.501504,-60.218186,3935.437613,,,,,76.32228,,,-7.88784,5.51079,-1.64522,50,5.63069,4.60692,-131.70341,-4.57213,-13.91071,26.913,-22.45544,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,1ba659e0-6430-11f0-b8c1-3d0ab3898546,89.3978,50.15676,,7.37366,,,,0.53891,2.16728,-0.85593,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-18,23:37:02.39,2025-07-18T18:37:02.3931904-05:00,2025-07-18T23:37:02.3931904Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,4e368e80-5f55-44a9-903a-02c4b314621f,54.98798,-132.71877,13.4565,5.7872,-3.72494,-11.22772,-1.82893,5.13173,-6.95535,,0.53891,46.94275,-15.21972,4.22852,-0.95379,-0.01608,0.29492,-0.22252,0.05987,2.16728,72.52383,-23.73115,2.43863,-0.47735,0.1626,-0.13171,0.08167,-0.02114,-0.85593,-82.02718,9.83395,-1.77465,0.30114,-0.07021,0.04222,-0.02453,0.00636,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2025-07-18,18:37:42.04,3,6,"Veinbergs, Lukas",1000223279,Right,GAT_GRI,"Sojka, Andrew",675382,Left,SCH_BOO,Undefined,1,Top,1,3,2,Undefined,Splitter,InPlay,Undefined,GroundBall,Out,1,0,,80.67484,0.225637,-1.368304,814.315867,343.586191,5:30,5.77257,1.867,5.14433,-49.33322,-5.0267,1.90134,Changeup,1.87398,0.73685,73.96189,-8.701122,-1.031115,0.479077,81.30375,-25.931551,16.491096,,,,,5.89439,4.33886,2.506203,0.036769,-1.3539,-2.21591,-1.74042,50,5.75521,2.71814,-117.06585,-1.33506,-1.86955,23.11951,-35.23387,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,334e9080-6430-11f0-b8c1-3d0ab3898546,78.67723,1.92127,,6.71295,,,,2.10012,1.92127,-0.86386,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-18,23:37:42.04,2025-07-18T18:37:42.0438528-05:00,2025-07-18T23:37:42.0438528Z,GroundBall,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,eeedb091-f43f-42c9-b9ee-4e47c7e106e0,55.35881,-118.11943,11.55976,5.77946,0.27058,-17.61694,-1.86623,2.80333,-0.93478,180.0,2.09888,103.03735,,,,,,,,1.9219,-52.25182,,,,,,,,-0.86422,30.50364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2025-07-18,18:38:17.82,4,1,"Veinbergs, Lukas",1000223279,Right,GAT_GRI,"Calarco, Anthony",702125,Left,SCH_BOO,Undefined,1,Top,2,0,0,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.14553,-1.491764,-2.902958,2175.066636,227.750119,1:30,5.81433,1.73256,5.64355,-20.10249,13.31229,13.42875,Sinker,2.74542,0.14125,83.82898,-5.260787,-0.506807,0.416045,,,,,,,,,,,,-7.62823,7.51044,-1.49448,50,5.67481,6.16151,-133.57018,-4.16712,-13.72416,29.87866,-18.66181,GAT_GRI,SCH_BOO,GrizzliesBP,Independent,FRONT,20250718-GrizzliesBP-3,489dbbf0-6430-11f0-b8c1-3d0ab3898546,90.59696,,,8.31656,,,,,,,e9bbdd67-b5d3-41ad-9068-a511e7c3df12,2025-07-18,23:38:17.82,2025-07-18T18:38:17.8295808-05:00,2025-07-18T23:38:17.8295808Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,4fef32cb-d755-4921-930e-6b2d8d085753,54.85657,-134.65218,14.93933,5.81348,-3.49132,-9.33091,-1.72661,6.6585,-6.86208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
